IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
354850;SP;SANTOS;5070708;NATALIA BIAGIONI ALBERTO;NATALIA BIAGIONI ALBERTO;;;M;AVENIDA WASHINGTON LUIZ;148;ENCRUZILHADA;11050200;-23.95546;-46.32625
354850;SP;SANTOS;5193389;DYNAMO CLINICA MEDICA LTDA;DYNAMO CLINICA MEDICA LTDA;05602962000134;;M;AVENIDA DONA ANA COSTA;296;CAMPO GRANDE;11060000;-23.94517;-46.33019
354850;SP;SANTOS;5193397;SAUD IMAGEM;SAUD IMAGEM CUBATAO CENTRO MEDICO DIAGNOSTICO S S LIMITADA;55053623000203;03591854000188;M;AVENIDA DONA ANA COSTA;296;CAMPO GRANDE;11060000;-23.94517;-46.33019
354850;SP;SANTOS;5321158;ENDOCOR;ENDOCOR SERVICOS MEDICOS LTDA;08065202000123;;M;AVENIDA CONSELHEIRO NEBIAS;701;BOQUEIRAO;11045003;-23.94581;-46.32172
354850;SP;SANTOS;5321166;LEONARDO MARTINS BARROSO;LEONARDO MARTINS BARROSO;;;M;RUA MARIO CARPENTER;01;GONZAGA;11055260;-23.96862;-46.33025
354850;SP;SANTOS;3959279;KARINA SOUTO LASSALVIA;KARINA SOUTO LASSALVIA;;;M;RUA OTHON FELICIANO;02;GONZAGA;11060010;-23.96809;-46.33357
354850;SP;SANTOS;3970507;WALDEMAR MEDINA FILHO;WALDEMAR MEDINA FILHO;;;M;AVENIDA CONSELHEIRO NEBIAS;793;BOQUEIRAO;11045003;-23.96378;-46.32359
354850;SP;SANTOS;5083168;CASSIS SAUDE OCUPACIONAL S C LTDA;CASSIS SAUDE OCUPACIONAL S C LTDA;02327325000109;;M;RUA BAHIA;178;GONZAGA;11060451;-23.96299;-46.33348
354850;SP;SANTOS;5095093;CONSULTORIO ODONTOLOGICO;ANTONIO JOSE DUBOC DE ALMEIDA SOARES;;;M;AVENIDA DONA ANA COSTA;493;GONZAGA;11060003;-23.94517;-46.33019
354850;SP;SANTOS;5310504;SILVANA CARDOSO REIS;SILVANA CARDOSO REIS;;;M;RUA BARAO DE PARANAPIACABA;16;ENCRUZILHADA;11015000;-23.95663;-46.33150
354850;SP;SANTOS;5314771;CLIMEPED;CLIMEPED CLINICA MEDICA PEDIATRICA LTDA;14077062000106;;M;AVENIDA DONA ANA COSTA;259;GONZAGA;11060001;-23.94517;-46.33019
354850;SP;SANTOS;5621771;FRANCISCO ALEXANDRE DE PAULA FERREIRA;FRANCISCO ALEXANDRE DE PAULA FERREIRA;;;M;AVENIDA DOS BANCARIOS;80;PONTA DA PRAIA;11030300;-23.98818;-46.30159
354850;SP;SANTOS;5164648;HUMBERTO FERREIRA DA SILVA;HUMBERTO FERREIRA DA SILVA;;;M;RUA PROFESSOR TORRES HOMEM;257;EMBARE;11025020;-23.96112;-46.32003
354850;SP;SANTOS;5455642;UNIDADE DE SAUDE DA FAMILIA REG CENTRAL HISTORICA ILHA DIANA;MUNICIPIO DE SANTOS;;58200015000183;M;PRACA IGUATEMI MARTINS;29;VILA NOVA;11013310;-23.961;-46.334
354850;SP;SANTOS;5199182;ANA RITA PEZUTTO;ANA RITA PEZUTTO;;;M;RUA DOUTOR LUIS SUPLICY;38;GONZAGA;11055330;-23.96190;-46.33212
354850;SP;SANTOS;3391981;APARECIDA ANTUNES DUTRA;APARECIDA ANTUNES DUTRA;;;M;RUA DOUTOR OSWALDO CRUZ;375;BOQUEIRAO;11045101;-23.96569;-46.32167
354850;SP;SANTOS;3395871;JOSE RICARDO MORAES WILMERS;JOSE RICARDO MORAES WILMERS;;;M;AVENIDA DONA ANA COSTA;254;CAMPO GRANDE;11060000;-23.94517;-46.33019
354850;SP;SANTOS;3395898;JOAQUIM GONCALVES NETO;JOAQUIM GONCALVES NETO;;;M;AVENIDA DONA ANA COSTA;48;VILA MATHIAS;11060000;-23.94517;-46.33019
354850;SP;SANTOS;3940098;CLAUDIA DE AVELLAR NOVOA;CLAUDIA DE AVELLAR NOVOA;;;M;AVENIDA SIQUEIRA CAMPOS;498;BOQUEIRAO;11045200;-23.96052;-46.31239
354850;SP;SANTOS;5065798;UNIDADE DE CARDIOLOGIA INTERVENCIONISTA LTDA;UNIDADE DE CARDIOLOGIA INTERVENCIONISTA LTDA;01208298000192;;M;RUA PARAIBA;32;JOSE MENINO;11065470;-23.96460;-46.34719
354850;SP;SANTOS;3534944;ANTONIO AUGUSTO CAPORALI DE CAMARGO;ANTONIO AUGUSTO CAPORALI DE CAMARGO;;;M;AVENIDA DONA ANA COSTA;311;ENCRUZILHADA;11060001;-23.94517;-46.33019
354850;SP;SANTOS;3534952;LESIEUX DE MARIA PEREIRA DA COSTA BAILAO;LESIEUX DE MARIA PEREIRA DA COSTA BAILAO;;;M;AVENIDA DONA ANA COSTA;374;GONZAGA;11060002;-23.96727;-46.33277
354850;SP;SANTOS;3534995;RENATO MEDEIROS PADEIRO;RENATO MEDEIROS PADEIRO;;;M;RUA AZEVEDO SODRE;37;BOQUEIRAO;11055050;-23.96627;-46.33067
